Source,County ID,County,SCC,General Emissions Description,Specific Emissions Description,PolName,Tons/day
NonRoad,49003,Box Elder,2265002021,Off-highway Vehicle Gasoline 4-Stroke,Paving Equipment,NH3,0
NonRoad,49003,Box Elder,2265002021,Off-highway Vehicle Gasoline 4-Stroke,Paving Equipment,SO2,0.000001
NonRoad,49003,Box Elder,2265002021,Off-highway Vehicle Gasoline 4-Stroke,Paving Equipment,PM10,0.000005
NonRoad,49003,Box Elder,2265002021,Off-highway Vehicle Gasoline 4-Stroke,Paving Equipment,PM2_5,0.000005
NonRoad,49003,Box Elder,2265002024,Off-highway Vehicle Gasoline 4-Stroke,Surfacing Equipment,CO,0.002959
NonRoad,49003,Box Elder,2265002024,Off-highway Vehicle Gasoline 4-Stroke,Surfacing Equipment,NOX,0.00004
NonRoad,49003,Box Elder,2265002024,Off-highway Vehicle Gasoline 4-Stroke,Surfacing Equipment,VOC,0.000081
NonRoad,49003,Box Elder,2265002024,Off-highway Vehicle Gasoline 4-Stroke,Surfacing Equipment,NH3,0
NonRoad,49003,Box Elder,2265002024,Off-highway Vehicle Gasoline 4-Stroke,Surfacing Equipment,SO2,0
NonRoad,49003,Box Elder,2265002024,Off-highway Vehicle Gasoline 4-Stroke,Surfacing Equipment,PM10,0.000002
NonRoad,49003,Box Elder,2265002024,Off-highway Vehicle Gasoline 4-Stroke,Surfacing Equipment,PM2_5,0.000002
NonRoad,49003,Box Elder,2265002027,Off-highway Vehicle Gasoline 4-Stroke,Signal Boards/Light Plants,CO,0.000137
NonRoad,49003,Box Elder,2265002027,Off-highway Vehicle Gasoline 4-Stroke,Signal Boards/Light Plants,NOX,0.000002
NonRoad,49003,Box Elder,2265002027,Off-highway Vehicle Gasoline 4-Stroke,Signal Boards/Light Plants,VOC,0.000004
NonRoad,49003,Box Elder,2265002027,Off-highway Vehicle Gasoline 4-Stroke,Signal Boards/Light Plants,NH3,0
NonRoad,49003,Box Elder,2265002027,Off-highway Vehicle Gasoline 4-Stroke,Signal Boards/Light Plants,SO2,0
NonRoad,49003,Box Elder,2265002027,Off-highway Vehicle Gasoline 4-Stroke,Signal Boards/Light Plants,PM10,0
